TC-RollAwayProtection_RTT_SQS_v7-MCDC-0004;Finally ([(((SpeedDirection == 2) && (ControllerPosition == 0)) && ((Standstill && ((SpeedDirection != 0) || (ControllerPosition != 2))) && ((SpeedDirection == 2) && (ControllerPosition == 0))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0005;Finally ([(((SpeedDirection != 2) && (ControllerPosition == 0)) && (Standstill && ((((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 0) || (ControllerPosition != 1))) && ((SpeedDirection != 2) || (ControllerPosition != 1))) && ((ControllerPosition != 0) || (SpeedDirection != 0))) && ((ControllerPosition != 2) || (SpeedDirection != 2)))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0007;Finally ([(((SpeedDirection == 0) && (ControllerPosition == 1)) && ((Standstill && (((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0)))) && ((SpeedDirection == 0) && (ControllerPosition == 1))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0008;Finally ([(((SpeedDirection != 0) && (ControllerPosition == 1)) && (Standstill && ((((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 2) || (ControllerPosition != 1))) && ((ControllerPosition != 0) || (SpeedDirection != 0))) && ((ControllerPosition != 2) || (SpeedDirection != 2)))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0010;Finally ([(((SpeedDirection == 2) && (ControllerPosition == 1)) && ((Standstill && ((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1)))) && ((SpeedDirection == 2) && (ControllerPosition == 1))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0011;Finally ([(((SpeedDirection != 2) && (ControllerPosition == 1)) && (Standstill && ((((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1))) && ((ControllerPosition != 0) || (SpeedDirection != 0))) && ((ControllerPosition != 2) || (SpeedDirection != 2)))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0013;Finally ([(((ControllerPosition == 0) && (SpeedDirection == 0)) && ((Standstill && (((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1))) && ((SpeedDirection != 2) || (ControllerPosition != 1)))) && ((ControllerPosition == 0) && (SpeedDirection == 0))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0015;Finally ([(((ControllerPosition == 0) && (SpeedDirection != 0)) && (Standstill && ((((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1))) && ((SpeedDirection != 2) || (ControllerPosition != 1))) && ((ControllerPosition != 2) || (SpeedDirection != 2)))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0019;Finally ([(((SpeedDirection == 1) && (RAPAck == 1)) && (Brake && ((SpeedDirection == 1) && (RAPAck == 1))))]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0020;Finally ([(((SpeedDirection != 1) && (RAPAck == 1)) && Brake)]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0021;Finally ([(((SpeedDirection == 1) && (RAPAck != 1)) && Brake)]);
TC-RollAwayProtection_RTT_SQS_v7-MCDC-0024;Finally ([((((TrainLocation - TrainLocationLastStandstill) <= D_NVROLL) && ((TrainLocation - TrainLocationLastStandstill) <= (-D_NVROLL))) && (CalculateRollAwayDistance && (SpeedDirection != 1)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0002;Finally ([((Standstill && ((SpeedDirection != 0) || (ControllerPosition != 2))) && ((SpeedDirection == 2) && (ControllerPosition == 0)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0003;Finally ([((Standstill && (((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0)))) && ((SpeedDirection == 0) && (ControllerPosition == 1)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0004;Finally ([((Standstill && ((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1)))) && ((SpeedDirection == 2) && (ControllerPosition == 1)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0005;Finally ([((Standstill && (((((SpeedDirection != 0) || (ControllerPosition != 2)) && ((SpeedDirection != 2) || (ControllerPosition != 0))) && ((SpeedDirection != 0) || (ControllerPosition != 1))) && ((SpeedDirection != 2) || (ControllerPosition != 1)))) && ((ControllerPosition == 0) && (SpeedDirection == 0)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0007;Finally ([(Brake && ((SpeedDirection == 1) && (RAPAck == 1)))]);
TC-RollAwayProtection_RTT_SQS_v7-TR-0008;Finally ([(CalculateRollAwayDistance && (SpeedDirection == 1))]);
